age,gender,weight (kg),height (m),bmi
29.0,Female,60.6,1.83,18.03
34.0,Male,47.8,1.69,12.32
19.0,Male,79.4,1.77,22.64
33.0,Female,62.4,1.72,29.29
47.0,Male,71.3,1.83,18.61
37.0,Male,116.2,1.65,23.58
50.0,Male,55.8,1.81,12.32
49.0,Male,53.5,1.79,27.68
53.0,Female,55.9,1.78,12.32
29.0,Female,80.7,1.74,12.32
46.0,Male,69.0,1.88,14.54
34.0,Male,60.5,1.8,12.32
44.0,,71.6,1.73,21.12
51.0,Female,96.3,1.88,16.31
47.0,Male,48.4,1.65,12.51
52.0,Male,77.8,1.59,23.73
25.0,Male,85.5,1.8,12.32
28.0,,74.9,1.74,25.53
30.0,Male,67.4,1.79,25.14
36.0,Male,71.0,1.66,28.31
24.0,Female,50.5,2.0,16.2
55.0,Male,94.8,2.0,
,Female,73.6,1.79,12.32
21.0,Male,47.8,1.62,12.32
41.0,Male,40.0,1.74,15.67
51.0,Male,43.9,1.78,15.75
47.0,Male,59.6,1.88,12.32
22.0,Female,56.1,1.91,12.32
18.0,Male,56.5,1.93,16.43
39.0,Male,83.7,1.52,15.84
34.0,Female,79.1,1.73,18.31
46.0,Female,56.7,1.97,16.02
22.0,Female,48.9,1.84,22.64
43.0,Female,47.1,1.81,29.69
51.0,Male,65.1,1.85,15.62
55.0,Female,60.6,1.68,18.66
42.0,Female,101.0,1.56,24.46
31.0,Female,66.4,1.76,29.07
49.0,Male,97.1,2.0,23.64
29.0,Male,73.7,1.88,24.55
44.0,Male,86.1,1.73,19.23
37.0,Female,58.7,1.78,18.67
37.0,Female,69.1,1.74,18.07
46.0,Female,73.0,1.73,15.27
53.0,Male,67.3,1.5,12.32
47.0,Female,59.2,1.67,23.65
46.0,Female,119.6,1.71,12.32
53.0,Male,80.1,1.69,14.85
42.0,Male,59.1,1.65,35.06
48.0,,88.8,1.91,19.12
36.0,Male,53.4,1.75,35.28
18.0,Male,98.9,1.58,12.32
41.0,Female,112.2,1.81,18.28
30.0,Male,101.6,1.73,40.75
19.0,Female,74.7,1.85,16.46
22.0,Male,68.4,1.86,16.16
22.0,Female,86.2,1.93,29.48
51.0,Male,98.9,1.85,25.3
27.0,Female,50.6,2.0,24.12
56.0,Female,68.1,2.0,17.05
22.0,Female,53.0,1.83,15.29
28.0,Male,59.2,1.68,12.32
35.0,Male,40.0,2.0,20.21
48.0,Male,90.4,2.0,13.35
25.0,Female,74.6,1.63,18.08
24.0,Male,92.2,1.71,
35.0,Female,56.2,1.74,20.61
18.0,Male,63.0,1.66,14.75
50.0,Female,76.1,1.82,14.5
52.0,Male,66.6,1.56,40.0
32.0,Female,45.9,1.83,17.82
31.0,Female,86.4,1.59,14.57
30.0,Female,54.9,1.93,13.37
21.0,Male,91.2,1.7,17.63
46.0,Male,54.2,1.91,26.79
22.0,Female,60.8,1.77,13.58
30.0,Male,46.8,1.67,12.32
31.0,Female,48.1,1.58,26.69
36.0,Male,56.5,1.61,25.74
55.0,Female,78.4,1.59,12.32
44.0,Male,78.2,1.8,18.17
34.0,Female,74.2,1.83,20.18
57.0,Female,84.0,1.95,21.88
47.0,Female,79.2,1.81,20.55
20.0,Female,102.9,1.61,21.82
30.0,Female,57.8,1.89,15.3
37.0,Female,94.5,1.73,17.52
54.0,Male,70.9,1.7,13.4
54.0,Female,52.6,1.81,27.97
31.0,Female,50.9,1.51,22.5
43.0,,58.9,1.85,20.61
22.0,Female,69.3,1.56,23.56
18.0,Female,93.3,1.71,24.01
24.0,Female,91.2,1.82,12.74
45.0,Female,40.0,1.59,19.33
34.0,,80.6,1.76,13.09
25.0,Male,40.0,1.56,12.32
45.0,Male,76.6,1.77,20.79
25.0,Female,61.1,1.72,12.62
51.0,Female,58.8,1.78,
31.0,Female,48.4,1.81,31.33
28.0,Female,77.8,1.62,21.22
48.0,Male,119.9,1.73,18.18
44.0,,64.5,1.5,12.32
39.0,Female,84.0,1.79,30.44
34.0,Male,80.7,1.8,13.63
24.0,Female,102.6,1.67,18.79
51.0,Female,80.4,1.64,12.32
42.0,Female,57.1,1.84,14.84
23.0,Female,60.5,1.88,15.38
18.0,Female,98.5,1.99,15.7
23.0,Female,68.0,1.74,17.47
18.0,Male,40.0,1.82,28.42
50.0,Male,41.9,2.0,16.02
18.0,Male,60.5,1.57,19.42
32.0,Male,40.0,1.61,25.61
46.0,Male,40.7,1.66,18.76
18.0,Female,53.8,1.7,15.72
18.0,,115.4,1.79,19.06
46.0,Male,54.0,1.82,14.05
24.0,Male,105.7,2.0,43.01
31.0,Male,87.3,1.65,26.33
30.0,Female,57.7,1.76,12.32
24.0,Male,72.7,2.0,23.15
25.0,,102.4,1.68,16.38
29.0,Female,81.4,1.89,21.8
39.0,Male,81.9,1.72,12.91
48.0,Female,65.1,1.79,28.56
28.0,Female,67.8,1.57,14.86
25.0,Male,56.9,1.61,23.68
53.0,Female,55.0,1.6,21.6
38.0,,42.6,1.61,15.67
50.0,Female,61.5,1.57,17.3
27.0,Male,64.2,1.89,17.41
38.0,Male,76.7,1.99,14.98
51.0,Male,100.2,,16.37
54.0,Female,58.1,1.57,23.19
33.0,Female,58.2,1.62,12.32
30.0,Male,80.1,,19.51
46.0,Male,55.1,1.62,26.04
32.0,Female,51.2,1.9,22.51
43.0,Male,40.0,1.95,18.66
42.0,Male,45.3,1.53,17.18
22.0,Female,54.1,1.76,22.15
24.0,Male,58.8,1.89,15.86
36.0,,55.5,1.69,27.8
27.0,Female,40.0,1.8,29.73
41.0,Male,53.0,1.62,20.51
18.0,Female,83.5,1.67,33.8
51.0,Female,58.6,2.0,37.28
18.0,Female,40.0,1.9,19.51
44.0,Female,91.2,1.87,15.5
31.0,Male,60.7,1.62,23.83
36.0,Male,62.2,1.5,22.96
23.0,Female,62.1,1.83,21.35
24.0,Male,79.0,1.62,12.32
38.0,Male,58.4,1.65,35.49
31.0,Female,75.8,1.7,15.58
55.0,Female,65.5,1.94,17.0
52.0,Female,81.0,1.62,17.41
24.0,Female,84.5,1.84,12.32
18.0,Male,48.7,1.75,38.48
30.0,Male,88.3,1.72,33.99
53.0,Female,,1.55,29.07
56.0,Female,85.2,1.6,21.05
,Male,68.7,1.81,32.2
40.0,Male,97.4,1.66,25.05
33.0,Male,73.3,1.86,15.26
33.0,Female,44.9,1.73,23.8
39.0,Male,59.9,1.71,19.74
40.0,Male,43.9,1.92,29.23
20.0,Male,40.0,1.52,22.23
26.0,Male,65.9,1.99,13.91
21.0,Female,59.8,1.65,12.32
36.0,Female,77.7,1.66,22.23
30.0,Male,61.6,1.77,24.78
18.0,Female,44.2,1.64,18.36
22.0,Male,63.7,1.85,13.95
45.0,Male,54.4,1.55,12.32
43.0,Female,93.8,1.65,15.58
18.0,Female,77.7,1.55,12.32
18.0,Male,57.6,1.74,12.8
20.0,Male,75.6,1.74,34.73
47.0,Male,85.5,1.84,19.61
25.0,Male,62.4,1.59,32.63
31.0,Female,53.5,1.68,20.61
47.0,Male,78.8,1.82,15.78
20.0,Male,40.0,1.97,13.57
56.0,Male,51.5,1.66,25.65
24.0,Male,80.9,1.74,12.32
29.0,Female,85.3,1.68,15.99
18.0,Female,47.8,1.73,14.48
36.0,Female,87.9,1.54,29.54
49.0,Female,43.6,1.68,30.46
40.0,Female,55.7,1.6,24.88
20.0,Female,73.5,1.87,22.35
31.0,Female,52.7,1.65,18.38
47.0,Female,87.1,1.7,26.61
47.0,,71.5,1.79,25.83
48.0,Female,57.3,1.9,38.13
54.0,,40.0,1.75,17.72
44.0,Male,94.4,1.82,22.79
46.0,Male,44.9,1.93,12.32
55.0,Male,61.9,1.74,27.13
24.0,Male,83.4,1.7,21.68
18.0,Female,83.6,1.84,30.41
18.0,Male,87.3,1.71,12.32
18.0,Female,48.6,1.72,21.68
18.0,Female,80.7,2.0,18.28
33.0,Female,62.6,1.71,31.79
19.0,Male,41.9,1.69,17.97
58.0,Male,47.6,1.84,13.65
18.0,Female,129.9,1.76,13.89
58.0,Female,73.3,1.69,38.45
47.0,Male,45.4,1.81,29.15
47.0,Male,50.6,1.65,28.24
56.0,Male,54.0,1.92,12.32
34.0,Female,73.1,1.73,21.47
36.0,Male,47.2,1.83,13.01
21.0,Female,48.7,,23.7
29.0,Female,66.1,1.63,17.15
18.0,Male,59.0,1.78,12.32
33.0,Female,94.2,1.86,22.89
38.0,Male,40.0,1.86,12.32
18.0,Female,73.6,1.53,14.92
50.0,Male,69.1,1.88,17.62
31.0,Female,60.2,1.75,12.32
40.0,Male,73.8,1.85,22.4
18.0,Male,72.8,1.84,12.32
33.0,Female,40.0,1.63,12.98
33.0,Female,99.6,1.72,28.7
48.0,Male,71.5,1.71,20.39
55.0,Male,64.4,1.76,21.26
50.0,Female,56.4,1.67,12.32
21.0,Male,45.2,1.73,22.25
49.0,Female,86.0,1.5,
49.0,,70.0,1.64,18.38
33.0,Female,60.7,2.0,21.91
42.0,Male,53.6,1.86,20.71
35.0,Female,64.3,1.79,13.91
18.0,Male,78.0,1.51,12.32
46.0,Male,50.2,1.8,15.85
29.0,Female,57.0,1.62,13.32
50.0,Male,87.6,1.67,23.76
20.0,Female,86.0,1.69,28.85
28.0,Female,43.3,1.78,31.04
18.0,Male,65.9,1.78,24.81
18.0,Female,61.0,1.51,12.32
22.0,Male,71.0,1.72,17.82
44.0,Male,56.7,1.77,19.97
42.0,Female,57.3,1.76,12.46
26.0,Male,95.2,1.68,19.46
38.0,Male,71.7,1.71,12.32
49.0,Female,68.8,1.66,15.5
43.0,Female,69.7,1.75,22.68
34.0,Female,102.9,1.64,14.76
23.0,Female,90.5,1.5,15.69
29.0,Female,40.0,1.72,21.98
31.0,Male,81.9,1.63,12.32
38.0,Male,99.6,1.6,16.92
18.0,Female,65.7,1.72,21.61
18.0,Male,,1.84,18.9
41.0,Female,85.7,1.66,17.33
29.0,Male,62.0,1.74,16.32
45.0,Male,70.9,2.0,27.46
49.0,Female,59.2,1.55,27.18
29.0,Male,83.7,1.8,13.59
55.0,Female,53.8,1.52,23.84
18.0,Female,68.1,1.66,25.77
41.0,Female,105.1,1.67,17.65
24.0,,45.5,2.0,17.6
51.0,Male,58.8,1.63,21.73
20.0,Male,52.9,1.8,27.72
43.0,Female,57.1,1.96,13.07
23.0,Male,68.6,1.8,21.41
39.0,Male,76.2,1.77,17.38
47.0,Male,68.2,1.58,16.35
18.0,Male,40.0,1.64,28.02
28.0,Male,82.4,1.57,12.47
29.0,Male,46.8,1.7,26.27
21.0,Male,62.2,1.71,16.06
33.0,Male,58.1,1.65,12.32
,Female,82.7,1.79,12.32
45.0,Female,55.2,1.9,12.32
18.0,Female,65.5,1.69,12.32
22.0,Male,52.3,1.66,15.38
37.0,Female,40.0,1.66,23.21
28.0,Female,93.2,1.71,14.12
18.0,Female,53.9,1.73,15.92
52.0,Male,54.9,1.67,18.27
18.0,Male,62.7,1.87,13.14
57.0,Female,98.3,1.71,20.61
40.0,Female,71.4,1.92,18.19
33.0,Male,74.6,1.58,13.23
51.0,Male,47.1,2.0,14.85
46.0,Female,49.2,1.5,15.31
36.0,Male,80.8,1.91,18.61
51.0,Male,80.8,2.0,12.58
59.0,Female,85.7,1.6,24.01
18.0,Male,42.3,1.64,15.26
23.0,Female,41.5,1.89,20.79
22.0,Male,84.3,1.6,13.86
34.0,Male,82.4,1.66,18.08
24.0,,79.7,1.92,45.54
32.0,Male,40.6,1.92,12.32
46.0,Female,58.6,2.0,24.38
20.0,Male,40.0,1.81,12.32
36.0,Female,80.8,1.71,12.54
54.0,Male,88.5,2.0,36.73
52.0,Male,84.3,1.69,15.11
47.0,Male,70.1,1.84,17.99
35.0,Male,49.3,1.71,12.65
40.0,Male,79.5,1.92,23.51
