workout_type,session_duration (hours),calories_burned,workout_frequency (days/week),experience_level
Yoga,1.76,1380.0,5.0,1.0
Cardio,1.32,400.0,4.0,2.0
Strength,1.33,1339.0,2.0,2.0
Strength,1.02,601.0,5.0,
HIIT,2.0,1283.0,,2.0
,1.96,555.0,3.0,2.0
Strength,1.57,716.0,5.0,1.0
Yoga,1.29,1556.0,2.0,3.0
Yoga,1.99,840.0,4.0,2.0
Cardio,0.97,667.0,4.0,1.0
HIIT,1.55,1249.0,3.0,3.0
HIIT,1.97,1783.0,4.0,3.0
Strength,1.46,1217.0,5.0,1.0
HIIT,1.71,1065.0,3.0,1.0
HIIT,1.26,966.0,2.0,1.0
HIIT,1.08,1262.0,4.0,1.0
HIIT,0.53,1662.0,3.0,1.0
HIIT,0.95,539.0,4.0,2.0
HIIT,0.77,589.0,2.0,3.0
Cardio,1.05,689.0,3.0,3.0
Cardio,0.75,622.0,2.0,1.0
\nStrength,1.24,665.0,2.0,2.0
HIIT,2.0,745.0,4.0,2.0
Strength,1.06,1246.0,2.0,2.0
Cardio,2.0,748.0,4.0,
Strength,1.43,957.0,4.0,1.0
Strength,1.24,1610.0,2.0,2.0
HIIT,1.94,901.0,4.0,2.0
Yoga,1.11,,4.0,3.0
,1.49,1213.0,2.0,1.0
Cardio,2.0,1172.0,2.0,2.0
HIIT,0.77,1259.0,4.0,2.0
HIIT,2.0,1119.0,2.0,1.0
Cardio,1.97,875.0,4.0,2.0
Yoga,1.11,1335.0,5.0,2.0
Strength,1.4,626.0,2.0,2.0
HIIT,1.85,1099.0,2.0,1.0
Cardio,1.59,1008.0,3.0,1.0
Yoga,1.38,1137.0,2.0,1.0
Strength,0.87,1177.0,3.0,3.0
HIIT,1.48,875.0,5.0,1.0
HIIT,1.24,399.0,3.0,1.0
,1.27,699.0,3.0,1.0
Strength,1.34,1197.0,3.0,3.0
Yoga,1.06,1421.0,4.0,2.0
Yoga,1.17,1783.0,3.0,2.0
HIIT,0.87,1709.0,4.0,3.0
Strength,1.56,1246.0,4.0,1.0
Cardio,2.0,957.0,4.0,2.0
Yoga,1.73,530.0,2.0,3.0
Strength,1.28,1262.0,4.0,2.0
Yoga,2.0,1042.0,2.0,3.0
HIIT,1.4,803.0,4.0,1.0
HIIT,2.0,933.0,2.0,1.0
Strength,1.47,1522.0,4.0,2.0
Strength,1.66,512.0,3.0,1.0
Yoga,1.48,785.0,4.0,2.0
HIIT,1.1,511.0,4.0,1.0
\tCardio,1.17,1186.0,3.0,3.0
Yoga,1.35,1043.0,4.0,3.0
Yoga,1.39,1053.0,4.0,1.0
Cardio,,871.0,2.0,3.0
HIIT,1.49,1032.0,5.0,2.0
Strength,1.34,1124.0,2.0,1.0
Strength,1.54,1066.0,2.0,2.0
Strength,1.3,958.0,3.0,2.0
Cardio,1.16,1092.0,4.0,3.0
HIIT,1.27,1783.0,4.0,3.0
Cardio,2.0,1107.0,3.0,3.0
Yoga,2.0,958.0,3.0,2.0
Strength,1.38,624.0,4.0,1.0
HIIT,1.57,1333.0,2.0,2.0
Cardio,0.96,912.0,3.0,2.0
Cardio,1.1,911.0,5.0,1.0
Strength,0.62,1596.0,2.0,1.0
Yoga,0.72,1006.0,4.0,2.0
Strength,1.42,1321.0,4.0,3.0
HIIT,1.22,1178.0,4.0,2.0
HIIT,1.55,1285.0,4.0,3.0
Cardio,1.7,903.0,4.0,2.0
Strength,1.49,704.0,4.0,2.0
Cardio,0.9,900.0,4.0,2.0
Cardio,1.1,872.0,4.0,1.0
Strength,1.23,1326.0,2.0,2.0
Cardio,1.44,801.0,5.0,2.0
Cardio,1.89,1277.0,2.0,2.0
Strength,1.55,1116.0,2.0,2.0
Strength,1.78,462.0,3.0,1.0
Strength,0.91,877.0,4.0,1.0
Strength,1.5,1200.0,4.0,3.0
Cardio,1.02,1033.0,4.0,1.0
HIIT,1.31,1078.0,3.0,1.0
Yoga,1.28,1064.0,3.0,2.0
Yoga,1.29,1355.0,4.0,3.0
Yoga,1.3,827.0,3.0,3.0
Yoga,1.59,1145.0,2.0,3.0
Strength,1.09,655.0,3.0,2.0
Yoga,1.1,969.0,2.0,1.0
Cardio,2.0,1418.0,2.0,1.0
Yoga,1.61,1631.0,3.0,1.0
Cardio,1.12,1515.0,3.0,2.0
HIIT,0.86,1071.0,3.0,1.0
Yoga,1.52,935.0,3.0,2.0
Strength,2.0,968.0,5.0,2.0
HIIT,1.52,990.0,3.0,1.0
Yoga,1.43,1573.0,4.0,1.0
Cardio,1.55,1545.0,3.0,1.0
Yoga,2.0,1417.0,4.0,2.0
Cardio,1.73,1538.0,3.0,1.0
Cardio,1.38,810.0,3.0,1.0
Yoga,1.82,693.0,4.0,1.0
Cardio,1.37,1081.0,5.0,3.0
Strength,1.31,514.0,3.0,2.0
,1.32,1002.0,5.0,1.0
Yoga,2.0,947.0,5.0,1.0
HIIT,1.67,954.0,3.0,3.0
HIIT,1.51,1376.0,2.0,3.0
Strength,2.0,1032.0,5.0,1.0
Strength,1.43,911.0,3.0,2.0
Strength,2.0,1231.0,4.0,1.0
Strength,1.04,807.0,3.0,1.0
HIIT,1.32,1017.0,4.0,2.0
Cardio,0.94,1303.0,3.0,2.0
HIIT,1.43,984.0,3.0,1.0
Yoga,1.33,1589.0,2.0,1.0
\nStrength,1.35,1216.0,5.0,2.0
\tYoga,2.0,1078.0,2.0,1.0
Cardio,1.22,1188.0,2.0,2.0
HIIT,0.9,645.0,2.0,1.0
HIIT,1.25,1376.0,3.0,1.0
Strength,2.0,1410.0,5.0,2.0
HIIT,1.06,811.0,2.0,3.0
Strength,1.43,303.0,2.0,3.0
Yoga,1.87,681.0,2.0,2.0
Yoga,0.94,1253.0,3.0,1.0
HIIT,0.58,1172.0,4.0,2.0
HIIT,1.19,979.0,4.0,2.0
HIIT,2.0,1783.0,4.0,2.0
Yoga,1.3,1562.0,3.0,3.0
,0.72,1119.0,4.0,3.0
Strength,1.6,303.0,3.0,1.0
Strength,1.19,1090.0,3.0,3.0
Yoga,1.3,,4.0,2.0
Strength,0.93,1075.0,4.0,1.0
Cardio,1.48,692.0,5.0,1.0
HIIT,1.91,1025.0,2.0,2.0
Yoga,1.36,1419.0,2.0,2.0
Yoga,2.0,1445.0,,1.0
Cardio,2.0,538.0,2.0,1.0
Cardio,1.43,1338.0,5.0,1.0
HIIT,1.09,1196.0,2.0,1.0
Strength,1.32,760.0,5.0,2.0
Yoga,1.63,1249.0,4.0,3.0
Cardio,1.23,1148.0,3.0,2.0
Yoga,0.91,1042.0,5.0,2.0
Strength,0.95,837.0,5.0,2.0
Yoga,1.98,1036.0,4.0,1.0
Yoga,1.32,909.0,4.0,2.0
Yoga,1.31,1268.0,2.0,1.0
Yoga,1.45,1308.0,3.0,2.0
Strength,1.43,839.0,4.0,1.0
Strength,1.63,1183.0,4.0,2.0
Cardio,1.57,1452.0,3.0,1.0
Strength,1.45,1000.0,2.0,3.0
Strength,1.32,1362.0,2.0,2.0
Cardio,1.29,1357.0,3.0,2.0
Cardio,1.37,949.0,4.0,2.0
Strength,1.39,644.0,2.0,1.0
Cardio,1.24,1144.0,2.0,1.0
Cardio,1.27,1398.0,5.0,3.0
HIIT,1.1,567.0,4.0,1.0
Strength,1.33,1213.0,2.0,2.0
Strength,1.38,1458.0,3.0,3.0
HIIT,1.13,636.0,2.0,1.0
HIIT,1.59,1638.0,3.0,2.0
HIIT,1.13,1356.0,3.0,3.0
Strength,0.98,1293.0,2.0,1.0
Yoga,1.32,1108.0,3.0,2.0
Cardio,1.4,1183.0,2.0,1.0
Strength,1.53,1419.0,4.0,2.0
Strength,1.65,1647.0,,
Yoga,1.32,1191.0,,2.0
HIIT,1.3,1215.0,3.0,1.0
Yoga,1.13,,3.0,3.0
HIIT,0.76,998.0,4.0,1.0
Cardio,2.0,717.0,2.0,2.0
HIIT,1.35,1447.0,4.0,1.0
HIIT,1.19,650.0,4.0,1.0
Strength,1.55,640.0,4.0,2.0
Strength,1.26,763.0,2.0,2.0
Cardio,1.68,769.0,3.0,3.0
Strength,1.12,1244.0,3.0,3.0
Cardio,1.34,1015.0,2.0,3.0
Strength,1.61,1411.0,2.0,2.0
Cardio,1.87,1037.0,2.0,
HIIT,1.04,593.0,4.0,2.0
HIIT,1.06,1252.0,3.0,2.0
HIIT,1.26,1144.0,4.0,2.0
Strength,2.0,1196.0,3.0,1.0
Strength,2.0,957.0,2.0,2.0
Cardio,0.87,853.0,3.0,2.0
Yoga,0.68,1257.0,5.0,2.0
Cardio,1.48,1330.0,3.0,2.0
Yoga,1.16,995.0,3.0,2.0
Cardio,1.38,1047.0,3.0,3.0
Cardio,0.65,1105.0,2.0,2.0
Cardio,1.99,895.0,5.0,1.0
Strength,1.74,640.0,3.0,1.0
Cardio,1.49,859.0,2.0,2.0
HIIT,1.34,1179.0,5.0,2.0
Yoga,1.39,1350.0,5.0,2.0
Strength,0.88,540.0,4.0,2.0
Strength,1.53,466.0,2.0,3.0
Strength,1.08,576.0,2.0,3.0
Cardio,1.78,1246.0,3.0,2.0
HIIT,0.93,1028.0,3.0,2.0
HIIT,2.0,1580.0,4.0,2.0
Strength,0.99,1215.0,4.0,2.0
Strength,0.89,456.0,3.0,2.0
Cardio,1.12,817.0,2.0,1.0
Yoga,1.04,1783.0,4.0,2.0
Yoga,1.49,808.0,3.0,1.0
Yoga,2.0,1336.0,4.0,1.0
Cardio,0.94,836.0,4.0,2.0
Strength,0.91,1090.0,3.0,2.0
HIIT,0.9,771.0,3.0,3.0
Cardio,1.1,1298.0,2.0,3.0
Cardio,1.53,684.0,4.0,2.0
HIIT,1.88,695.0,3.0,2.0
Yoga,2.0,1093.0,3.0,3.0
HIIT,2.0,1182.0,3.0,1.0
HIIT,1.79,1730.0,5.0,1.0
Strength,1.24,1632.0,4.0,2.0
Strength,1.66,872.0,4.0,1.0
Yoga,1.28,595.0,2.0,2.0
Yoga,1.57,1113.0,3.0,3.0
Strength,1.38,1099.0,,1.0
Strength,1.16,717.0,4.0,3.0
HIIT,1.5,750.0,4.0,2.0
Yoga,1.46,988.0,2.0,1.0
Strength,2.0,1743.0,,1.0
,1.41,1217.0,2.0,1.0
Yoga,1.33,1084.0,3.0,
Yoga,1.59,1166.0,4.0,1.0
,1.49,1263.0,2.0,2.0
HIIT,1.2,,3.0,3.0
Cardio,2.0,1783.0,4.0,1.0
Yoga,0.65,499.0,3.0,2.0
Cardio,1.82,1186.0,2.0,1.0
Strength,0.92,1378.0,4.0,1.0
HIIT,2.0,1113.0,4.0,1.0
Strength,1.45,1004.0,3.0,1.0
Strength,1.52,1095.0,5.0,2.0
Cardio,0.99,781.0,3.0,1.0
Yoga,0.54,874.0,3.0,2.0
HIIT,1.5,1057.0,3.0,1.0
Yoga,1.18,930.0,3.0,1.0
Yoga,1.41,800.0,3.0,2.0
Cardio,1.07,913.0,5.0,3.0
Strength,1.2,303.0,3.0,1.0
Yoga,,907.0,4.0,1.0
Yoga,1.95,859.0,3.0,2.0
HIIT,1.01,694.0,5.0,2.0
Yoga,0.73,352.0,3.0,2.0
Cardio,1.24,953.0,3.0,2.0
HIIT,1.3,1286.0,3.0,2.0
Yoga,,582.0,4.0,1.0
HIIT,0.92,760.0,5.0,2.0
Strength,1.01,1274.0,3.0,3.0
Yoga,2.0,859.0,3.0,2.0
Yoga,1.4,979.0,2.0,2.0
Strength,1.48,1002.0,3.0,1.0
Yoga,0.91,1262.0,4.0,2.0
Cardio,1.82,314.0,4.0,3.0
Cardio,1.33,1126.0,2.0,2.0
Yoga,1.66,1553.0,2.0,2.0
Yoga,1.01,503.0,,1.0
Yoga,1.19,1329.0,4.0,2.0
Strength,1.26,325.0,5.0,3.0
Strength,2.0,1062.0,3.0,1.0
HIIT,1.33,804.0,4.0,2.0
Strength,1.25,645.0,4.0,1.0
Yoga,1.13,462.0,2.0,
Cardio,0.95,798.0,4.0,2.0
Strength,2.0,1662.0,4.0,2.0
Strength,1.14,1263.0,5.0,1.0
Yoga,1.16,1499.0,4.0,1.0
Cardio,1.59,649.0,3.0,2.0
Cardio,1.21,1524.0,3.0,2.0
Strength,0.55,1222.0,3.0,1.0
Cardio,1.03,1370.0,2.0,1.0
Cardio,1.25,988.0,3.0,2.0
Yoga,2.0,918.0,4.0,2.0
,1.05,810.0,2.0,2.0
Strength,1.42,501.0,4.0,1.0
Strength,1.28,800.0,2.0,2.0
Cardio,1.85,1590.0,3.0,2.0
HIIT,1.42,901.0,5.0,1.0
Strength,1.42,761.0,3.0,1.0
Cardio,1.54,1389.0,2.0,1.0
Strength,1.28,1030.0,3.0,2.0
Strength,1.28,1556.0,2.0,3.0
Yoga,1.66,1345.0,2.0,1.0
Yoga,1.35,967.0,4.0,2.0
HIIT,2.0,913.0,3.0,2.0
Yoga,1.39,1135.0,3.0,2.0
Yoga,1.0,887.0,2.0,3.0
Yoga,2.0,1109.0,2.0,1.0
HIIT,0.87,922.0,2.0,1.0
HIIT,1.37,787.0,3.0,1.0
Strength,1.44,1628.0,4.0,1.0
,0.7,1067.0,2.0,1.0
\tCardio,2.0,1266.0,3.0,1.0
,,1327.0,3.0,2.0
Strength,,1006.0,4.0,2.0
Yoga,1.25,672.0,3.0,1.0
Strength,1.08,1783.0,,1.0
HIIT,1.16,700.0,2.0,2.0
Cardio,1.22,1254.0,4.0,1.0
Strength,2.0,905.0,3.0,2.0
Yoga,1.41,733.0,2.0,2.0
Yoga,0.83,1018.0,3.0,1.0
Strength,1.53,629.0,4.0,1.0
Cardio,1.08,1218.0,4.0,2.0
Cardio,1.5,1130.0,5.0,3.0
Strength,1.21,1115.0,2.0,3.0
Yoga,2.0,1068.0,5.0,2.0
Yoga,1.14,1083.0,5.0,2.0
Yoga,1.06,1032.0,3.0,3.0
HIIT,2.0,1179.0,5.0,3.0
Strength,1.37,848.0,3.0,1.0
Strength,1.4,1259.0,3.0,2.0
Strength,1.46,635.0,2.0,3.0
Cardio,1.86,906.0,4.0,2.0
Cardio,0.98,773.0,2.0,2.0
,1.27,903.0,4.0,1.0
Strength,0.86,875.0,2.0,1.0
Cardio,1.66,1163.0,4.0,2.0
Cardio,2.0,916.0,2.0,1.0
Strength,2.0,843.0,3.0,3.0
HIIT,1.19,1705.0,4.0,1.0
Cardio,1.45,1269.0,4.0,3.0
Cardio,1.42,562.0,3.0,1.0
Cardio,1.93,1010.0,3.0,1.0
Yoga,0.94,739.0,4.0,2.0
Yoga,1.4,749.0,4.0,2.0
HIIT,2.0,1338.0,3.0,
HIIT,1.92,1102.0,2.0,3.0
HIIT,1.4,562.0,5.0,1.0
HIIT,1.84,822.0,5.0,2.0
Yoga,1.62,877.0,2.0,2.0
Cardio,1.58,409.0,5.0,2.0
HIIT,1.38,1369.0,3.0,1.0
HIIT,2.0,1434.0,4.0,2.0
Strength,0.97,598.0,2.0,1.0
Yoga,1.87,879.0,4.0,1.0
Strength,1.33,1338.0,2.0,2.0
Cardio,1.16,1783.0,3.0,3.0
Strength,1.38,1185.0,,2.0
Yoga,0.72,1221.0,2.0,2.0
Yoga,1.99,1081.0,2.0,2.0
Yoga,1.89,1010.0,2.0,2.0
Yoga,1.59,635.0,4.0,3.0
HIIT,1.3,1208.0,3.0,2.0
Yoga,1.6,1350.0,4.0,1.0
Strength,1.01,662.0,4.0,1.0
Strength,1.36,594.0,5.0,2.0
HIIT,0.61,985.0,3.0,2.0
Yoga,1.64,765.0,4.0,2.0
HIIT,1.3,775.0,4.0,1.0
HIIT,1.06,1503.0,2.0,2.0
HIIT,1.48,666.0,5.0,1.0
Strength,1.07,904.0,2.0,3.0
Cardio,1.34,685.0,3.0,1.0
Cardio,1.6,1059.0,2.0,2.0
Cardio,1.46,1222.0,3.0,1.0
Yoga,0.99,777.0,3.0,1.0
Cardio,0.92,819.0,5.0,1.0
,1.99,1485.0,4.0,1.0
Cardio,1.32,730.0,2.0,3.0
Yoga,2.0,935.0,2.0,3.0
HIIT,1.41,962.0,5.0,2.0
Strength,1.05,,4.0,3.0
Cardio,1.48,717.0,2.0,3.0
HIIT,1.9,1190.0,2.0,2.0
Cardio,1.07,1562.0,4.0,2.0
HIIT,1.79,636.0,4.0,3.0
Cardio,1.5,1132.0,4.0,3.0
Cardio,1.42,705.0,4.0,2.0
Strength,2.0,1096.0,3.0,1.0
HIIT,1.63,1192.0,5.0,2.0
Strength,1.06,990.0,3.0,2.0
HIIT,1.21,893.0,3.0,3.0
Yoga,2.0,998.0,4.0,1.0
,0.97,1005.0,4.0,2.0
Strength,1.16,861.0,5.0,
HIIT,1.27,1479.0,3.0,1.0
Yoga,2.0,1734.0,3.0,1.0
Cardio,2.0,1403.0,2.0,2.0
Cardio,1.44,1436.0,3.0,2.0
Strength,1.47,,2.0,3.0
Yoga,1.13,841.0,4.0,3.0
Strength,0.71,1196.0,4.0,2.0
Yoga,1.39,542.0,3.0,1.0
Yoga,2.0,1023.0,2.0,1.0
Cardio,0.52,1262.0,3.0,2.0
Strength,1.24,700.0,4.0,1.0
Strength,1.16,1204.0,2.0,2.0
HIIT,1.51,1005.0,2.0,1.0
Cardio,1.17,760.0,4.0,2.0
Strength,1.01,1128.0,2.0,2.0
HIIT,2.0,1005.0,3.0,2.0
Strength,1.52,1256.0,2.0,2.0
Yoga,1.69,475.0,4.0,1.0
Yoga,1.15,549.0,,
HIIT,1.19,1064.0,3.0,1.0
Yoga,1.32,1169.0,4.0,1.0
Cardio,1.43,1157.0,,1.0
HIIT,1.17,1102.0,3.0,2.0
Cardio,1.43,1343.0,4.0,1.0
Strength,1.3,1068.0,3.0,3.0
HIIT,1.82,1297.0,3.0,1.0
Cardio,1.1,897.0,2.0,1.0
Strength,1.45,1117.0,3.0,1.0
Cardio,1.88,858.0,5.0,
Strength,1.08,578.0,2.0,1.0
HIIT,2.0,1196.0,2.0,1.0
HIIT,1.0,1316.0,2.0,3.0
Cardio,1.2,1317.0,3.0,1.0
HIIT,1.07,1218.0,4.0,
Cardio,1.33,1178.0,3.0,2.0
Yoga,2.0,1757.0,,2.0
Strength,1.18,850.0,3.0,2.0
HIIT,1.15,823.0,3.0,1.0
Strength,1.39,854.0,5.0,1.0
Cardio,1.29,405.0,4.0,2.0
Yoga,0.76,1186.0,2.0,2.0
Strength,2.0,931.0,3.0,2.0
HIIT,1.4,1348.0,,2.0
Cardio,1.24,1483.0,3.0,1.0
Strength,2.0,997.0,4.0,2.0
Cardio,1.59,708.0,2.0,2.0
HIIT,0.95,366.0,3.0,2.0
Strength,0.62,1412.0,3.0,1.0
Yoga,1.4,1271.0,2.0,2.0
Yoga,1.29,1140.0,5.0,1.0
Yoga,2.0,832.0,3.0,1.0
HIIT,0.99,780.0,4.0,2.0
Cardio,1.52,1454.0,3.0,1.0
Yoga,2.0,1243.0,4.0,3.0
Cardio,1.55,1199.0,4.0,1.0
HIIT,1.35,532.0,3.0,2.0
HIIT,0.8,911.0,5.0,1.0
Strength,1.11,1090.0,2.0,2.0
Yoga,1.29,1187.0,5.0,3.0
Strength,1.33,1783.0,5.0,3.0
HIIT,2.0,1162.0,2.0,1.0
Cardio,1.44,1210.0,4.0,2.0
Yoga,1.86,900.0,2.0,2.0
HIIT,1.11,1388.0,3.0,2.0
HIIT,0.77,1367.0,3.0,2.0
Strength,1.2,1261.0,3.0,2.0
Cardio,1.04,956.0,4.0,3.0
Strength,1.29,1178.0,4.0,1.0
